tick,market_price
1661,100.817
1662,100.82
1663,100.822
1664,100.814
1665,100.813
1666,100.818
1667,100.821
1668,100.824
1669,100.825
1670,100.829
1671,100.834
1672,100.837
1673,100.841
1674,100.854
1675,100.859
1676,100.855
1677,100.858
1678,100.857
1679,100.856
1680,100.854
1681,100.857
1682,100.861
1683,100.866
1684,100.875
1685,100.895
1686,100.905
1687,100.921
1688,100.923
1689,100.926
1690,100.925
1691,100.926
1692,100.927
1693,100.927
1694,100.922
1695,100.923
1696,100.928
1697,100.932
1698,100.937
1699,100.938
1700,100.931
1701,100.929
1702,100.933
1703,100.938
1704,100.939
1705,100.94
1706,100.946
1707,100.948
1708,100.954
1709,100.95
1710,100.953
1711,100.953
1712,100.943
1713,100.931
1714,100.934
1715,100.935
1716,100.931
1717,100.93
1718,100.925
1719,100.91
1720,100.908
1721,100.9
1722,100.896
1723,100.897
1724,100.898
1725,100.9
1726,100.901
1727,100.922
1728,100.942
1729,100.958
1730,100.98
1731,100.998
1732,101.003
1733,100.994
1734,100.975
1735,100.953
1736,100.942
1737,100.939
1738,100.936
1739,100.937
1740,100.943
1741,100.949
1742,100.951
1743,100.955
1744,100.961
1745,100.962
1746,100.966
1747,100.965
1748,100.964
1749,100.961
1750,100.958
1751,100.958
1752,100.958
1753,100.955
1754,100.956
1755,100.953
1756,100.95
1757,100.941
1758,100.933
1759,100.932
1760,100.929
1761,100.929
1762,100.93
1763,100.928
1764,100.929
1765,100.933
1766,100.931
1767,100.928
1768,100.925
1769,100.923
1770,100.92
1771,100.922
1772,100.913
1773,100.896
1774,100.882
1775,100.859
1776,100.843
1777,100.832
1778,100.818
1779,100.806
1780,100.798
1781,100.803
1782,100.8
1783,100.791
1784,100.787
1785,100.778
1786,100.774
1787,100.777
1788,100.777
1789,100.778
1790,100.772
1791,100.769
1792,100.77
1793,100.768
1794,100.759
1795,100.737
1796,100.722
1797,100.717
1798,100.723
1799,100.725
1800,100.722
1801,100.721
1802,100.718
1803,100.723
1804,100.726
1805,100.727
1806,100.719
1807,100.706
1808,100.7
1809,100.696
1810,100.695
1811,100.698
1812,100.704
1813,100.712
1814,100.717
1815,100.718
1816,100.718
1817,100.715
1818,100.715
1819,100.71
1820,100.71
1821,100.711
1822,100.712
1823,100.711
1824,100.715
1825,100.716
1826,100.72
1827,100.722
1828,100.721
1829,100.723
1830,100.727
1831,100.731
1832,100.735
1833,100.741
1834,100.748
1835,100.743
1836,100.747
1837,100.745
1838,100.739
1839,100.732
1840,100.726
1841,100.731
1842,100.738
1843,100.735
1844,100.733
1845,100.728
1846,100.724
1847,100.725
1848,100.722
1849,100.724
1850,100.723
1851,100.726
1852,100.72
1853,100.721
1854,100.72
1855,100.718
1856,100.717
1857,100.714
1858,100.704
1859,100.698
1860,100.683
1861,100.688
1862,100.69
1863,100.692
1864,100.693
1865,100.693
1866,100.692
1867,100.691
1868,100.691
1869,100.688
1870,100.687
1871,100.684
1872,100.683
1873,100.687
1874,100.691
1875,100.691
1876,100.694
1877,100.694
1878,100.695
1879,100.694
1880,100.702
1881,100.707
1882,100.712
1883,100.716
1884,100.709
1885,100.714
1886,100.72
1887,100.732
1888,100.741
1889,100.743
1890,100.743
1891,100.738
1892,100.73
1893,100.717
1894,100.715
1895,100.712
1896,100.708
1897,100.703
1898,100.701
1899,100.704
1900,100.698
1901,100.693
1902,100.693
1903,100.699
1904,100.703
1905,100.707
1906,100.711
1907,100.722
1908,100.722
1909,100.722
1910,100.723
1911,100.725
1912,100.722
1913,100.71
1914,100.701
1915,100.696
1916,100.696
1917,100.681
1918,100.677
1919,100.678
1920,100.678
1921,100.681
1922,100.68
1923,100.679
1924,100.68
1925,100.684
1926,100.681
1927,100.676
1928,100.663
1929,100.645
1930,100.601
1931,100.539
1932,100.525
1933,100.522
1934,100.514
1935,100.508
1936,100.498
1937,100.489
1938,100.487
1939,100.483
1940,100.47
1941,100.466
1942,100.464
1943,100.468
1944,100.484
1945,100.484
1946,100.484
1947,100.487
1948,100.496
1949,100.504
1950,100.508
1951,100.506
1952,100.513
1953,100.514
1954,100.515
1955,100.516
1956,100.513
1957,100.515
1958,100.513
1959,100.508
1960,100.499
1961,100.5
1962,100.504
1963,100.515
1964,100.513
1965,100.514
1966,100.515
1967,100.511
1968,100.505
1969,100.501
1970,100.499
1971,100.501
1972,100.491
1973,100.486
1974,100.483
1975,100.488
1976,100.487
